rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,BS,재무상태표,부채총계,제 53 기,2021.12.31 현재,"57,918,452,000,000",제 52 기,2020.12.31 현재,"46,347,703,000,000",제 51 기,2019.12.31 현재,"38,310,673,000,000",12,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,BS,재무상태표,자본금,제 53 기,2021.12.31 현재,"897,514,000,000",제 52 기,2020.12.31 현재,"897,514,000,000",제 51 기,2019.12.31 현재,"897,514,000,000",15,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,BS,재무상태표,이익잉여금,제 53 기,2021.12.31 현재,"188,774,335,000,000",제 52 기,2020.12.31 현재,"178,284,102,000,000",제 51 기,2019.12.31 현재,"172,288,326,000,000",19,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,BS,재무상태표,자본총계,제 53 기,2021.12.31 현재,"193,193,732,000,000",제 52 기,2020.12.31 현재,"183,316,724,000,000",제 51 기,2019.12.31 현재,"177,870,247,000,000",22,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,IS,손익계산서,매출액,제 53 기,2021.01.01 ~ 2021.12.31,"199,744,705,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"166,311,191,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"154,772,859,000,000",24,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,IS,손익계산서,영업이익,제 53 기,2021.01.01 ~ 2021.12.31,"31,993,162,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"20,518,974,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"14,115,067,000,000",26,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2021.01.01 ~ 2021.12.31,"38,704,492,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"20,451,923,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"19,032,469,000,000",28,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익,제 53 기,2021.01.01 ~ 2021.12.31,"30,970,954,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"15,615,018,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"15,353,323,000,000",30,KRW
20220308000798 ,11011,2021,126380,5930,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 53 기,2021.01.01 ~ 2021.12.31,"30,970,954,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"15,615,018,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"15,353,323,000,000",62,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,유동자산,제 54 기,2021.12.31 현재,"88,565,366,000,000",제 53 기,2020.12.31 현재,"83,686,357,000,000",제 52 기,2019.12.31 현재,"76,082,873,000,000",1,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,비유동자산,제 54 기,2021.12.31 현재,"145,381,049,000,000",제 53 기,2020.12.31 현재,"125,657,855,000,000",제 52 기,2019.12.31 현재,"118,429,347,000,000",3,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,자산총계,제 54 기,2021.12.31 현재,"233,946,415,000,000",제 53 기,2020.12.31 현재,"209,344,212,000,000",제 52 기,2019.12.31 현재,"194,512,220,000,000",5,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,유동부채,제 54 기,2021.12.31 현재,"64,236,787,000,000",제 53 기,2020.12.31 현재,"59,459,528,000,000",제 52 기,2019.12.31 현재,"53,314,096,000,000",7,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,비유동부채,제 54 기,2021.12.31 현재,"87,093,839,000,000",제 53 기,2020.12.31 현재,"73,543,714,000,000",제 52 기,2019.12.31 현재,"64,832,370,000,000",9,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,부채총계,제 54 기,2021.12.31 현재,"151,330,626,000,000",제 53 기,2020.12.31 현재,"133,003,242,000,000",제 52 기,2019.12.31 현재,"118,146,466,000,000",11,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,자본금,제 54 기,2021.12.31 현재,"1,488,993,000,000",제 53 기,2020.12.31 현재,"1,488,993,000,000",제 52 기,2019.12.31 현재,"1,488,993,000,000",13,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 54 기,2021.12.31 현재,"73,167,855,000,000",제 53 기,2020.12.31 현재,"68,911,800,000,000",제 52 기,2019.12.31 현재,"68,249,633,000,000",17,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,BS,재무상태표,자본총계,제 54 기,2021.12.31 현재,"82,615,789,000,000",제 53 기,2020.12.31 현재,"76,340,970,000,000",제 52 기,2019.12.31 현재,"76,365,754,000,000",21,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,IS,손익계산서,매출액,제 54 기,2021.01.01 ~ 2021.12.31,"117,610,626,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"103,997,601,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"105,746,422,000,000",23,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,IS,손익계산서,영업이익,제 54 기,2021.01.01 ~ 2021.12.31,"6,678,949,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"2,394,671,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"3,605,505,000,000",25,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 54 기,2021.01.01 ~ 2021.12.31,"7,959,562,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"2,093,256,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"4,163,766,000,000",27,KRW
20240314001466 ,11011,2021,164742,5380,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 54 기,2021.01.01 ~ 2021.12.31,"7,861,139,000,000",제 53 기,2020.01.01 ~ 2020.12.31,"902,528,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"3,816,867,000,000",63,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,유동자산,제 54 기,2021.12.31 현재,"23,330,493,000,000",제 53 기,2020.12.31 현재,"24,612,104,000,000",제 52 기,2019.12.31 현재,"22,346,792,000,000",2,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,비유동자산,제 54 기,2021.12.31 현재,"56,427,807,000,000",제 53 기,2020.12.31 현재,"53,640,185,000,000",제 52 기,2019.12.31 현재,"51,412,033,000,000",4,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,자산총계,제 54 기,2021.12.31 현재,"79,758,300,000,000",제 53 기,2020.12.31 현재,"78,252,289,000,000",제 52 기,2019.12.31 현재,"73,758,825,000,000",6,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,유동부채,제 54 기,2021.12.31 현재,"20,043,791,000,000",제 53 기,2020.12.31 현재,"17,709,438,000,000",제 52 기,2019.12.31 현재,"15,148,868,000,000",8,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,비유동부채,제 54 기,2021.12.31 현재,"7,039,497,000,000",제 53 기,2020.12.31 현재,"7,354,342,000,000",제 52 기,2019.12.31 현재,"5,089,342,000,000",10,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,부채총계,제 54 기,2021.12.31 현재,"27,083,288,000,000",제 53 기,2020.12.31 현재,"25,063,780,000,000",제 52 기,2019.12.31 현재,"20,238,210,000,000",12,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,자본금,제 54 기,2021.12.31 현재,"1,488,993,000,000",제 53 기,2020.12.31 현재,"1,488,993,000,000",제 52 기,2019.12.31 현재,"1,488,993,000,000",15,KRW
20240314001466 ,11011,2021,164742,5380,OFS,재무제표,BS,재무상태표,이익잉여금,제 54 기,2021.12.31 현재,"49,094,270,000,000",제 53 기,2020.12.31 현재,"49,232,719,000,000",제 52 기,2019.12.31 현재,"49,471,930,000,000",19,KRW
